"nomeempreendedor","niveldeemergencia"
"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","Sem emergência"
"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","Sem emergência"
"Manoel Rodrigues Gimenes","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Emergência Nivel 1"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO JUNDU LTDA","Sem emergência"
"UILSON ROMANHA & CIA LTDA","Sem emergência"
"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","Emergência Nivel 1"
"SANTA FELICIDADE MINERACAO SPE LTDA","Sem emergência"
"SERGIO DA SILVA","Sem emergência"
"ANTONIO CAROLINO DE SOUZA","Sem emergência"
"ALTA FLORESTA GOLD MINERACAO LTDA","Sem emergência"
"CARBONIFERA SIDEROPOLIS LTDA","Sem emergência"
"PEDRO CERQUEIRA CALDAS","Sem emergência"
"ALTA FLORESTA GOLD MINERACAO LTDA","Sem emergência"
"YAN BITTENCOURT NASCIMENTO","Sem emergência"
"RIDALECIO DE SOUZA","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"ALTA FLORESTA GOLD MINERACAO LTDA","Sem emergência"
"BRASE - BRASIL EXTRACAO, COMERCIO E INDUSTRIA DE ESTANHO EIRELI","Sem emergência"
"CELESTA MINERACAO S.A","Sem emergência"
"NORAIR NELSON DE SOUZA","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"ITAMINAS COMERCIO DE MINERIOS SA","Sem emergência"
"COOPERATIVA DE PRODUTORES DE ESTANHO DO BRASIL COOPERTIN","Sem emergência"
"TORIO BRASIL MINERACAO LTDA","Sem emergência"
"COOPERATIVA DE PRODUTORES DE ESTANHO DO BRASIL COOPERTIN","Sem emergência"
"GDMBRASIL - GEOLOGIA E DESENVOLVIMENTO MINERAL LTDA","Sem emergência"
"GDMBRASIL - GEOLOGIA E DESENVOLVIMENTO MINERAL LTDA","Sem emergência"
"João Gabriel Guizzo","Sem emergência"
"COOPERATIVA DE EXTRACAO DE METAIS E PEDRAS PRECIOSAS DE PONTES E LACERDA-MT","Sem emergência"
"Robinson da Silva Bravo","Sem emergência"
"Joaquim Aderaldo de Souza Neto","Sem emergência"
"COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","Sem emergência"
"COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","Sem emergência"
"MSM Mineração Serra da Moeda Ltda.","Sem emergência"
"MSM Mineração Serra da Moeda Ltda.","Sem emergência"
"L V R COMERCIO E EXTRACAO MINERAL LTDA","Sem emergência"
"VALE GOLD S.A.","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","Sem emergência"
"FILADELFO DOS REIS DIAS","Sem emergência"
"M & J MINERACAO, PISCICULTURA E REFLORESTAMENTO - EIRELI","Emergência Nivel 1"
"Ricardo Padilla de Bordon Neves","Sem emergência"
"Marcus Vítor Nunes Lindote","Sem emergência"
"Bento Soares de Brito","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"Cooperativa de Mineração dos Garimpeiros do Lourenço Ltda","Sem emergência"
"PARA ALTA FLORESTA GOLD MINERACAO LTDA","Sem emergência"
"COOPERATIVA DOS GARIMPEIROS DO VALE DO VILA NOVA","Sem emergência"
"COOPERATIVA DOS GARIMPEIROS DO VALE DO VILA NOVA","Sem emergência"
"COOPERATIVA DOS GARIMPEIROS DO VALE DO VILA NOVA","Sem emergência"
"COOPERATIVA DOS GARIMPEIROS DO VALE DO VILA NOVA","Sem emergência"
"RIVER GOLD MINERACAO LTDA","Sem emergência"
"Alcoa World Alumina Brasil Ltda.","Sem emergência"
"MINERACAO TANQUE BELO LTDA","Sem emergência"
"DIEGO MACEDO CARDOSO","Sem emergência"
"CLAUDIO HENRIQUE TEODORO DE ALMEIDA","Sem emergência"
"COOPROBAND - COOPERATIVA DE PRODUTORES MINERAIS DE NOVA BANDEIRANTES","Sem emergência"
"ALEX HENRIQUE CRUZ","Sem emergência"
"MINAR MINERACAO AREDES LTDA","Sem emergência"
