"nome","nomemina"
"Jacaré Superior","Pau D'Arco"
"Rio Santa Cruz","81-1"
"RESERVATÓRIO 01","Barragem MRDM"
"P1-1","LE - Lagoa de Espessamento"
"RESERVATÓRIO 02","LD7 - Lagoa de Disposição 7"
"Unidade II","LD6 - Lagoa de Disposição 6"
"Unidade I","LD3 - Lagoa de Disposição 03"
"Unidade IIB","LD2 - Lagoa de Disposição 02"
"Bacia 05 Alto da Serra","LD1 - Lagoa de Disposição 01"
"Gregório","Lagoa de Disposição n°05 - LD5"
"CA01","Barragem B4"
"CA02","Barragem MCSA"
"Queimada","Barragem 03 - Zé da Grota"
"Planta","Barragem 02 - Canindé"
"Bacia B-9","BARRAGEM SUL OU TANQUE VELHO"
"Barragem B-6","BARRAGEM DE REJEITOS DO MIRIM"
"Barragem Sul","BARRAGEM DE FINOS II"
"BARRAGEM USINA/CIP - LAGO 1 E 2","DIQUE DE FINOS I"
"BARRAGEM USINA/CIP - LAGO 3","DIQUE DE FINOS III"
"BARRAGEM USINA/CIP - LAGO 4","DIQUE DE FINOS II"
"Barragem Morro Pelado","Dique BIII-2"
"Fiori","Beariz 2"
"Conterpa","Barragem de Rejeitos - BAR"
"Conjunto de cavas em desativação recuperação","Bacia Nestor Figueiredo - BNF"
"decantação de finos / reservatorio agua processo","Barragem 02"
"Deposito de Finos Porto de Areia Serramar","Barragem 03"
"Cava Camarinha","Barragem Serra Azul"
"Cava Pedrinhas","Barragem de Sedimentos da Pedreira Itapeti - BA1"
"Area M","Barragem de Sedimentos da Pedreira Juruaçu - BA4"
"R22","BARRAGEM DE LIXIVIAÇÃO"
"R75","BARRAGEM DE FLOTAÇÃO"
"CAVA 1","Barragem do Vené II"
"CAVA 2","Barrragem do Vené"
"Lagoa 1","BARRAGEM USINA/CIP - LAGO 1 E 2"
"Boa Sorte","BARRAGEM USINA/CIP - LAGO 3"
"Dutra","BARRAGEM USINA/CIP - LAGO 4"
"Sedimentação de finos","Bacia 17"
"Barragem T04","BACIA DE REJEITOS 16"
"Pinheirinho","Dique Norte da PDE 1"
"Bacia de Decantação Final No Bota Fora","BARRAGEM DO SABÃO I"
"Casarão","Galego"
"Cabeceiras","Sul Inferior"
"Barragem Morro Pelado 2","Sul Superior"
"BR SANTA FELICIDADE","Campo Grande"
"BR BOSCO","Dicão Leste"
"Dique Quéias - Captação de Água","Mosquito"
"Barragem 01","Xingu"
"BARRAGEM DO SABÃO I","Timbopeba"
"Miraí","PDE Permanente II - Fase I"
"Itamarati de Minas","Barragem de Rejeito Almas"
"Bacia 02-03 Alto da Serra Mn","B1"
"LE - Lagoa de Espessamento","Barragem T08"
"LD1 - Lagoa de Disposição 01","Moça Bonita"
"LD2 - Lagoa de Disposição 02","Barragem 01"
"LD3 - Lagoa de Disposição 03","5 (MAC)"
"Dique S4","7B"
"LV-01","Barragem B"
"Dique S3","Capim Branco"
"Barragem de Decantação de Água e Polpa - EBII - Mineroduto","Menezes I"
"Dique B2 - Pilha de Estéril João Manoel","Menezes II"
"Dique B3 - Pilha de Estéril João Manoel","VI"
"Barragem Eixo 1","VII"
"Bacia 17","BARRAGEM DO SOSSEGO"
"12 - AN","Alain II"
"TP3","Bacia B-9"
"Barragem 1 - Dique de Contenção","FRANCÊS"
"Barragem 2 - Captação de Água","Barragem B-6"
"Dique 1","COQUEIRAL"
"Barragem do Fundão","Barragem de Rejeito 01"
"Barragem dos Coqueiros","GONÇA"
"Dique 2","CANGAS"
"Dique 3","RONDON"
"Dique BIII-6","MARANATA"
"Dique BIII-7","Barragem Samambaia 0 (Zero)"
"BARRAGEM DIQUE 2","BR BOSCO"
"Dique de Captação","Dique Oeste"
"Dique - Pilha 2","BACIA DE REJEITOS BOM JARDIM"
"Dique - Pilha 4","B3"
"Dique Conquistinha","PDE 3"
"Lagoa de Disposição n°04 - LD4","Bacia Grota da Onça"
"PDE02","Barragem Torto"
"Pilha 01 - P1C1","Sul (Córrego do Canal)"
"Pilha 01 P1C2","Porteirinha"
"Pilha 01 - P1C3","Diogo"
"Pilha 01 - P1C4","Monjolo"
"Pilha 01 - P1C5","Elefante"
"Pilha 01 - P1C6","BACIA DE REJEITOS SÃO BENTO"
"Pilha 01 - P1C7","Barragem de Rejeitos SB 02"
"Pilha 01 - P1C8","Estéril Sul"
