"nome","nomemina","nomeempreendedor","uf"
"Dique Petrobrás","Dique 02 Serra Azul - Dique Vai e Volta 2","MINERACAO USIMINAS S.A.","MG"
"Dique de Contenção de Salmoura","Dique 03 Serra Azul - Dique Vai e Volta 3","MINERACAO USIMINAS S.A.","MG"
"Dique de Resíduos Insóluveis","Dique 06","MINERACAO USIMINAS S.A.","MG"
"BARRAGEM DE FLOTAÇÃO","Dique 13 - Pains","MINERACAO USIMINAS S.A.","MG"
"BARRAGEM DE LIXIVIAÇÃO","Dique 14","MINERACAO USIMINAS S.A.","MG"
"Estéril Sul","Dique Couves (MUSA)","MINERACAO USIMINAS S.A.","MG"
"Geladinho","Dique da Divisa","MINERACAO USIMINAS S.A.","MG"
"Gelado","Dique da Oficina","MINERACAO USIMINAS S.A.","MG"
"Jacaré","Dique da Oficina II","MINERACAO USIMINAS S.A.","MG"
"Pera Jusante","Dique Flotação","MINERACAO USIMINAS S.A.","MG"
"Pera Montante","Dique Intermediário","MINERACAO USIMINAS S.A.","MG"
"RECON","Dique Leste I","MINERACAO USIMINAS S.A.","MG"
"Azul","Dique Leste II","MINERACAO USIMINAS S.A.","MG"
"Kalunga","Dique Leste III","MINERACAO USIMINAS S.A.","MG"
"Barragem BM","Dique Mazano","MINERACAO USIMINAS S.A.","MG"
"Barragem BR","Dique da Mineira","MINERACAO USIMINAS S.A.","MG"
"PDE Permanente II - Fase I","Dique BIV-3 - Dique Hércules","MINERACAO USIMINAS S.A.","MG"
"PDE Permanente I","Prata","VALE S.A.","MG"
"PDE Fosforoso","PDE Engano","VALE S.A.","MG"
"Timbopeba","2","VALE S.A.","MG"
"Mosquito","A - PDE Nordeste","VALE S.A.","MG"
"Doutor","C - PDE Nordeste","VALE S.A.","MG"
"Campo Grande","Fazendinha","VALE S.A.","MG"
"Dicão Leste","Fazenda Santa Fé","TECH ROCK MINERACAO LTDA","SP"
"B6","1 Mina","VALE S.A.","PA"
"B7","1 Usina","VALE S.A.","PA"
"Barragem 02","3 Mina","VALE S.A.","PA"
"Barragem 03","Sul Pilha","VALE S.A.","PA"
"Capim Branco","RECON","MINERACAO SAO FRANCISCO DE ASSIS LTDA","PA"
"Taquaras","Dique Provisorio 01","MINERACAO ONCA PUMA S.A.","PA"
"BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BII","Dique Provisorio 02","MINERACAO ONCA PUMA S.A.","PA"
"BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BIII","Usina","MINERACAO ONCA PUMA S.A.","PA"
"BARRAGEM USINA SANTALUZ BENEFICIAMENTO BI","Dique 04","MINERACAO ONCA PUMA S.A.","PA"
"Barragem de Contenção de Sólidos Carreados","Dique 05","MINERACAO ONCA PUMA S.A.","PA"
"BARRAGEM B1","SANTA TERESA","NOVELIS DO BRASIL LTDA.","MG"
"Bacia A","Dique Petrobrás","MOSAIC FERTILIZANTES P&K LTDA.","SE"
"Bacia B","BARRAGEM DO LAGARTO","CSN MINERACAO S.A.","MG"
"Usina","OURINHOS I","João Gimenes Rodrigues","MT"
"Dique 04","LU","José Vicente Nunes Rondon","MT"
"Dique 05","BACIA DE SEDIMENTO DA USINA DE TRATAMENTO","MAGNESITA MINERACAO S.A.","BA"
"Alto Jacutinga","CHICO","NORAIR NELSON DE SOUZA","MT"
"Barnabé","BOM PASTOR","SIDNEI RAFAEL DE SOUZA","MT"
