"nome","municipio"
"Dique 3","POCONÉ"
"Dique BIII-6","POCONÉ"
"Dique BIII-7","ITATIAIUÇU"
"BARRAGEM DIQUE 2","NOSSA SENHORA DO LIVRAMENTO"
"Dique de Captação","ITATIAIUÇU"
"Dique - Pilha 2","POCONÉ"
"Dique - Pilha 4","SÃO GONÇALO DO RIO ABAIXO"
"Dique Conquistinha","SÃO GONÇALO DO RIO ABAIXO"
"Lagoa de Disposição n°04 - LD4","PONTES E LACERDA"
"PDE02","BARÃO DE COCAIS"
"Pilha 01 - P1C1","SÃO GONÇALO DO RIO ABAIXO"
"Pilha 01 P1C2","SANTA BÁRBARA"
